 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
    0         121    2.023741e+03     0.000e+00     1.000e+00     0.000e+00     1.324e+04  
    1         242    1.160702e+03     2.776e-16     1.000e+00     9.167e+00     1.324e+04  
    2         366    9.672539e+02     4.857e-16     3.430e-01     6.140e+00     1.345e+04  
    3         492    8.851064e+02     6.106e-16     1.681e-01     1.158e+01     1.819e+04  
    4         618    6.066739e+02     5.690e-16     1.681e-01     6.669e+00     2.270e+03  
    5         741    4.696784e+02     7.494e-16     4.900e-01     8.008e+00     7.795e+03  
    6         864    4.181647e+02     1.249e-15     4.900e-01     7.341e+00     6.033e+03  
    7         991    4.039826e+02     1.166e-15     1.176e-01     1.441e+00     6.299e+03  
    8        1117    3.900558e+02     9.853e-16     1.681e-01     4.140e+00     6.174e+03  
    9        1244    3.884117e+02     1.221e-15     1.176e-01     6.375e+00     4.413e+03  
   10        1371    3.684559e+02     1.263e-15     1.176e-01     1.099e+01     8.727e+03  
   11        1495    3.291929e+02     1.082e-15     3.430e-01     1.130e+01     9.693e+03  
   12        1621    3.015861e+02     1.082e-15     1.681e-01     5.468e+00     1.452e+04  
   13        1746    2.343341e+02     1.332e-15     2.401e-01     9.532e+00     1.099e+04  
   14        1870    1.855356e+02     1.540e-15     3.430e-01     1.045e+01     8.699e+03  
   15        1993    1.468427e+02     1.180e-15     4.900e-01     1.327e+01     4.935e+03  
   16        2119    1.225156e+02     1.138e-15     1.681e-01     5.657e+00     3.509e+03  
   17        2244    1.045976e+02     1.124e-15     2.401e-01     5.231e+00     3.528e+03  
   18        2369    8.966969e+01     1.124e-15     2.401e-01     8.038e+00     7.255e+03  
   19        2495    8.448007e+01     1.180e-15     1.681e-01     4.343e+00     6.619e+03  
   20        2620    8.155528e+01     1.082e-15     2.401e-01     3.411e+00     6.142e+03  
   21        2746    7.467928e+01     1.041e-15     1.681e-01     3.518e+00     2.721e+03  
   22        2870    7.051331e+01     9.576e-16     3.430e-01     3.351e+00     4.557e+03  
   23        2997    6.998562e+01     8.882e-16     1.176e-01     2.942e+00     3.258e+03  
   24        3123    6.476443e+01     9.992e-16     1.681e-01     3.797e+00     5.219e+03  
   25        3251    6.471325e+01     9.853e-16     8.235e-02     1.416e+00     3.418e+03  
   26        3377    6.073651e+01     1.013e-15     1.681e-01     2.373e+00     2.092e+03  
   27        3501    5.840419e+01     9.437e-16     3.430e-01     4.565e+00     1.182e+03  
   28        3625    5.736120e+01     8.743e-16     3.430e-01     3.016e+00     3.103e+03  
   29        3752    5.622615e+01     8.882e-16     1.176e-01     2.010e+00     4.383e+03  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
   30        3878    5.492056e+01     9.159e-16     1.681e-01     1.279e+00     2.327e+03  
   31        4005    5.372428e+01     8.743e-16     1.176e-01     2.143e+00     7.451e+02  
   32        4128    5.268149e+01     1.110e-15     4.900e-01     1.759e+00     1.270e+03  
   33        4251    5.134895e+01     9.714e-16     4.900e-01     3.059e+00     1.529e+03  
   34        4377    5.077808e+01     9.021e-16     1.681e-01     1.307e+00     1.624e+03  
   35        4504    5.001430e+01     8.882e-16     1.176e-01     2.252e+00     1.458e+03  
   36        4629    4.937232e+01     9.298e-16     2.401e-01     1.007e+00     7.885e+02  
   37        4752    4.872963e+01     8.465e-16     4.900e-01     1.348e+00     5.456e+02  
   38        4876    4.848969e+01     7.078e-16     3.430e-01     1.903e+00     7.000e+02  
   39        5002    4.841471e+01     6.106e-16     1.681e-01     1.443e+00     1.040e+03  
   40        5128    4.831695e+01     5.967e-16     1.681e-01     9.047e-01     6.674e+02  
   41        5252    4.816137e+01     5.690e-16     3.430e-01     1.442e+00     3.837e+02  
   42        5376    4.783020e+01     6.939e-16     3.430e-01     1.703e+00     1.028e+03  
   43        5499    4.757083e+01     8.327e-16     4.900e-01     1.779e+00     6.579e+02  
   44        5623    4.744280e+01     7.216e-16     3.430e-01     1.260e+00     9.958e+02  
